score cell_id typeofdata sample w6 w5 w4 w3 w2 w1 pintro network xintro wmin map exec iters reps optimfunc law yintro mu seed lambda sigma gamma humanactivity
150.088 1933 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00277060262166 0.0365887104224 0.5297337374 0.659502930513 1.0 ./input/network.txt 36608.4813069 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65025.1456382 17.6140645248 10433 9.33719663259 1.81814177222 0.0 NO
158.798 1301 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00138859043016 0.0398153660644 0.422601789438 0.914344509794 1.0 ./input/network.txt 47332.1875314 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 44972.9884697 26.1779972148 10445 10.1773881564 1.75400660589 0.0 NO
152.136 1867 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0406295847314 0.446838999386 0.916116208403 0.973204569831 1.0 ./input/network.txt 20367.6676207 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 64207.2018905 6.90152978218 10481 11.7483238119 1.33591180104 0.0 NO
149.178 1929 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0170231180277 0.0730272443025 0.818220361187 0.486760914039 1.0 ./input/network.txt 27824.3133494 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65539.6226391 4.85416612658 10490 12.7503831644 1.9565865521 0.0 NO
151.966 1810 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0182521649006 0.181963355729 0.775404003683 0.733827530596 1.0 ./input/network.txt 21282.0796353 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 61421.897816 20.3459555985 10497 9.8611765852 0.834953567776 0.0 NO
154.563 1867 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0633461521911 0.793334589272 0.853513834874 0.86005643513 1.0 ./input/network.txt 20705.2496603 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 63304.2241561 8.82217317014 10525 10.8632839964 0.908728179907 0.0 NO
152.5 1810 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0440792624487 0.219686355218 0.737703655187 0.80253824288 1.0 ./input/network.txt 21938.5976568 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 61363.8608565 15.3249113549 10535 10.0196779334 0.976356024721 0.0 NO
149.274 1932 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.00123263525128 0.0513776358146 0.747155183772 0.979180885374 1.0 ./input/network.txt 33722.5305036 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65468.7636741 9.87012410171 10538 11.2149461341 2.55191785549 0.0 NO
154.066 1810 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0244387414703 0.499450761686 0.927311720828 0.526404584583 1.0 ./input/network.txt 22349.273414 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 61509.7927282 2.7596941863 10565 16.7808851432 2.06286822651 0.0 NO
150.358 1931 PRESENCE_ABSENCE ./input/sample.txt 0.0 0.0 0.0101226672551 0.0544477206675 0.659315801244 0.407443316039 1.0 ./input/network.txt 32097.6482964 0.0 ./input/map.txt ./Anonymized_run 25 1000 LOG_LIKELIHOOD LOG_NORMAL 65161.452797 17.74916435 10751 9.4321389269 1.66128750703 0.0 NO
