REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
31 177.208 409.024 33.4711 409.024 177.208 0.75560224 0.047 1.05577936 0.83928571 0.35947712 0.149 0.84530387 0.057 0.45882353 0.057 0.31714918 0.16022099 0.09392265 0.047 0.47980859
32 171.851 409.024 33.4711 409.024 171.851 0.76318861 0.049 1.07387579 0.78571429 0.26797386 0.133 0.84530387 0.049 0.48351648 0.049 0.34273352 0.19337017 0.06629834 0.049 0.51774043
33 172.216 409.024 33.4711 409.024 172.216 0.75577731 0.04 1.04986449 0.89285714 0.44771242 0.123 0.8480663 0.05 0.44565217 0.05 0.293618 0.19889503 0.08287293 0.048 0.46545285
34 175.982 409.024 33.4711 409.024 175.982 0.76062092 0.063 1.0563809 0.76785714 0.2745098 0.116 0.84530387 0.064 0.47126437 0.064 0.33086876 0.17127072 0.08287293 0.063 0.49334734
35 176.866 409.024 33.4711 409.024 176.866 0.76905345 0.049 1.06175584 0.83928571 0.3496732 0.122 0.84530387 0.057 0.47953216 0.058 0.34417559 0.1519337 0.08839779 0.057 0.49031279
36 173.937 409.024 33.4711 409.024 173.937 0.7587535 0.058 1.05031302 0.75 0.26470588 0.128 0.8480663 0.058 0.46927374 0.058 0.32597703 0.18508287 0.07734807 0.058 0.48529412
37 176.663 409.024 33.4711 409.024 176.663 0.76809057 0.059 1.06088023 0.76785714 0.26797386 0.117 0.84530387 0.062 0.48235294 0.062 0.34683835 0.16022099 0.08287293 0.059 0.49988329
38 176.811 409.024 33.4711 409.024 176.811 0.76391807 0.054 1.08058261 0.78571429 0.25816993 0.133 0.84530387 0.054 0.49162011 0.054 0.35435694 0.18508287 0.06629834 0.054 0.52754435
39 170.746 409.024 33.4711 409.024 170.746 0.7600957 0.05 1.06175584 0.83928571 0.3496732 0.149 0.8480663 0.054 0.46560847 0.054 0.31687904 0.21270718 0.06629834 0.054 0.49486461
40 175.503 409.024 33.4711 409.024 175.503 0.7695495 0.065 1.049701 0.7857143 0.3039216 0.144 0.8453039 0.069 0.4685714 0.077 0.3461298 0.0801105 0.1270718 0.065 0.4817927
41 174.544 409.024 33.4711 409.024 174.544 0.76963702 0.052 1.04972902 0.82142857 0.34640523 0.118 0.84530387 0.059 0.47904192 0.061 0.34562545 0.14088398 0.09392265 0.059 0.48225957
42 172.152 409.024 33.4711 409.024 172.152 0.76283847 0.055 1.05413924 0.76785714 0.27777778 0.146 0.84530387 0.055 0.4673913 0.056 0.32220315 0.1878453 0.07734807 0.055 0.49007937
43 174.222 409.024 33.4711 409.024 174.222 0.75641923 0.052 1.04972902 0.82142857 0.34640523 0.127 0.8480663 0.061 0.4519774 0.062 0.3061704 0.15745856 0.09944751 0.052 0.47502334
44 171.038 409.024 33.4711 409.024 171.038 0.76394725 0.052 1.06957792 0.80357143 0.29411765 0.137 0.8480663 0.052 0.47120419 0.052 0.32320166 0.21823204 0.06077348 0.052 0.50945378
45 176.412 409.024 33.4711 409.024 176.412 0.75618581 0.054 1.07390264 0.80357143 0.2875817 0.154 0.84530387 0.054 0.47619048 0.054 0.33040619 0.21270718 0.06077348 0.054 0.51598973
46 175.365 409.024 33.4711 409.024 175.365 0.75320962 0.047 1.06981229 0.83928571 0.33660131 0.135 0.84530387 0.05 0.45685279 0.05 0.30236663 0.23480663 0.06077348 0.047 0.50268441
47 178.441 409.024 33.4711 409.024 178.441 0.7603583 0.069 1.050313 0.75 0.2647059 0.159 0.8453039 0.07 0.4705882 0.071 0.3356637 0.1270718 0.1049724 0.069 0.4852941
