rep t logL AIC nb_colonies AUC BOYCE_index BOYCE_pvalue
1 1 409.023701743216 836.047403486431 0 0.5 NA NA
1 2 409.023701743216 836.047403486431 0 0.5 NA NA
1 3 409.027693764485 836.05538752897 0.004 0.498366013071895 NA NA
1 4 407.646390924968 833.292781849936 0.011 0.516223155929038 NA NA
1 5 406.966229274677 831.932458549354 0.025 0.496907096171802 -1 1
1 6 406.285075124057 830.570150248114 0.038 0.530578898225957 -0.866025403784439 0.333333333333333
1 7 404.462397703947 826.924795407895 0.129 0.519724556489262 -0.894427190999916 0.0405193263538342
1 8 401.405217954252 820.810435908505 0.257 0.521504435107376 -0.845594324664471 0.00817017174491419
1 9 395.246980573481 808.493961146963 0.392 0.550332633053221 -0.837121377562538 0.00952604080769541
1 10 385.594185090149 789.188370180298 0.686 0.577410130718954 -0.90101849011362 1.09362721185953e-05
1 11 376.852218801446 771.704437602891 1.023 0.601423902894491 -0.803732989886593 5.85753063727393e-05
1 12 364.560690698454 747.121381396909 1.559 0.640347805788982 -0.24242541878126 0.277027833232826
1 13 349.358252009633 716.716504019265 2.272 0.669292717086835 -0.497723644189611 0.00374808604715002
1 14 335.91153749448 689.82307498896 3.082 0.680905695611578 -0.499357123432429 0.00121095980030447
1 15 314.744828500741 647.489657001482 4.378 0.730742296918767 -0.507505272211981 0.000271518820866853
1 16 300.614940294217 619.229880588434 5.912 0.730275443510737 -0.552747053846425 9.99296171546652e-06
1 17 276.397080056907 570.794160113815 7.944 0.761350373482726 -0.4308969491436 0.000339435596455033
1 18 254.796465121255 527.59293024251 11.041 0.770512371615313 -0.252457697191605 0.0221255584974509
1 19 228.950847409063 475.901694818126 15.565 0.792308590102708 -0.0196889167768051 0.851407236303035
1 20 210.794357189399 439.588714378798 20.414 0.797268907563025 -0.366710785217728 3.26090392015354e-05
1 21 195.327255917439 408.654511834877 26.625 0.799865779645191 -0.388369175002324 1.9481185320309e-06
1 22 182.395450292498 382.790900584995 34.752 0.80360060690943 -0.319450425213056 2.57645481755781e-05
1 23 174.214433389031 366.428866778061 43.676 0.800186741363212 -0.223449867712657 0.00183644516379264
1 24 166.932637895939 351.865275791877 53.689 0.800186741363212 -0.179268734702004 0.00873583997138804
1 25 162.307631593826 342.615263187652 66.732 0.807102007469655 -0.102876231963978 0.111161395407585
2 1 409.023701743216 836.047403486431 0 0.5 NA NA
2 2 409.029694755191 836.059389510382 0.006 0.495098039215686 NA NA
2 3 407.945048604525 833.890097209051 0.022 0.502363445378151 -1 1
2 4 404.504239512518 827.008479025037 0.053 0.53469304388422 -1 1
2 5 403.836044033351 825.672088066703 0.08 0.524918300653595 -0.5 1
2 6 401.416028235951 820.832056471902 0.149 0.536035247432306 -1 0.333333333333333
2 7 400.671072261568 819.342144523136 0.217 0.522263071895425 -0.777541914350235 0.0687269414410896
2 8 395.305414448186 808.610828896372 0.389 0.53031629318394 -0.852436714160266 0.0148140854905376
2 9 389.584691021711 797.169382043422 0.555 0.544351073762839 -0.819150073319746 0.00373895098080804
2 10 384.430772754881 786.861545509763 0.788 0.551383053221288 -0.718846172659226 0.00562715880576277
2 11 375.814161931828 769.628323863656 1.112 0.565534547152194 -0.804712753190317 1.88452217555814e-05
2 12 364.261195635276 746.522391270553 1.51 0.602911998132586 -0.685808890313012 0.000303524873446221
2 13 353.574473900849 725.148947801699 2.07 0.630952380952381 -0.804948377767379 2.79322260687349e-08
2 14 340.582990890345 699.165981780689 2.964 0.646300186741363 -0.640190595956102 2.87394828064904e-06
2 15 326.033973391237 670.067946782474 3.982 0.666637488328665 -0.331721411875828 0.0162885088596825
2 16 304.650049524416 627.300099048832 5.607 0.704977824463119 -0.59869642044575 5.52014476360705e-08
2 17 280.585858649478 579.171717298956 7.731 0.75703197945845 -0.657228955515295 3.55622296326722e-11
