rep t logL AIC nb_colonies AUC BOYCE_index BOYCE_pvalue
1 1 404.836541501844 827.673083003689 0.099 0.512721755368814 -1 1
1 2 398.884465333955 815.768930667911 0.271 0.525560224089636 0.5 1
1 3 389.484061819583 796.968123639166 0.423 0.571341036414566 -0.872081599272381 0.053854217727542
1 4 377.356180419202 772.712360838405 0.659 0.621352707749767 -0.6 0.35
1 5 365.886652694665 749.77330538933 1.016 0.673873716153128 -0.0487950036474267 0.908654487655341
1 6 352.192114523861 722.384229047723 1.307 0.71953781512605 0.818181818181818 0.0068111327718268
1 7 339.806727623698 697.613455247396 1.776 0.728320494864612 0.936847872273043 7.11085565210816e-06
1 8 328.251963594831 674.503927189662 2.488 0.730683940242764 0.826091146403042 8.03702194805543e-05
1 9 315.11359789619 648.22719579238 3.251 0.741742530345471 0.544952328798664 0.0087242030075883
1 10 303.408172256971 624.816344513943 4.168 0.743143090569561 0.284723690746374 0.167745443693821
1 11 289.394426168996 596.788852337992 5.292 0.756185807656396 0.90973768094892 8.17966358242525e-12
1 12 272.881852944169 563.763705888337 6.937 0.778244631185808 0.872742346912998 9.2319405857966e-13
1 13 257.217595353982 532.435190707965 8.636 0.786589635854342 0.908341418218325 6.97005794227354e-18
1 14 245.991220780005 509.982441560011 10.716 0.783613445378151 0.914326672143887 1.15426168724132e-21
1 15 233.668443975057 485.336887950115 13.038 0.788340336134454 0.807074822166258 1.37752163798205e-15
1 16 222.283822847332 462.567645694664 15.875 0.784955648926237 0.667348098698745 5.1413736467727e-10
1 17 212.424674233023 442.849348466046 19.08 0.780374649859944 0.300883553583134 0.0048778211088869
1 18 201.486415074844 420.972830149688 23.294 0.777982026143791 0.457735427527336 3.10435885446724e-06
1 19 189.867584224465 397.735168448931 28.452 0.78562675070028 0.494670517881078 3.42068914998985e-08
1 20 179.749514244223 377.499028488446 34.447 0.78828197945845 0.690166339209923 3.92001134670385e-19
1 21 170.568712076346 359.137424152691 41.658 0.797560690943044 0.763250496837097 1.56408811623581e-28
1 22 163.239847279363 344.479694558726 49.423 0.801062091503268 0.950802822985748 7.63556811013044e-84
1 23 158.565744611001 335.131489222001 58.012 0.800887021475257 0.960749901725236 6.12199441733175e-100
1 24 155.613744624296 329.227489248592 68.474 0.802316760037348 0.98903739321338 2.77400435785576e-167
1 25 155.214088816337 328.428177632674 80.098 0.802462651727358 0.986846849891265 1.94236679221077e-182
2 1 402.765218462331 823.530436924661 0.109 0.549457282913165 1 1
2 2 392.725143303454 803.450286606908 0.252 0.603816526610644 -0.5 1
2 3 382.873424343484 783.746848686969 0.403 0.652369281045752 1 0.0833333333333333
2 4 374.10475201228 766.20950402456 0.609 0.659051120448179 0.852436714160266 0.0148140854905376
2 5 362.954500116854 743.909000233707 0.93 0.688608776844071 0.720749970156447 0.0676349947302816
2 6 352.620136785527 723.240273571054 1.295 0.691818394024276 0.972517992528285 5.3205315263882e-07
2 7 340.058333702863 698.116667405725 1.855 0.712476657329599 0.95829802439437 1.90902541585448e-08
2 8 325.942043297929 669.884086595857 2.435 0.728699813258637 0.935512277554253 4.2111048415013e-09
2 9 315.99336171884 649.986723437681 3.175 0.726803221288515 0.852028257868896 9.51118380870345e-07
2 10 299.749489924283 617.498979848565 4.127 0.743464052287582 0.966424040980288 1.80350924992894e-14
2 11 286.725609933368 591.451219866737 5.289 0.74562324929972 0.917227366308025 2.65792406940153e-12
2 12 269.881234063133 557.762468126267 6.903 0.774830765639589 0.960938839149643 1.12953530382201e-21
2 13 256.465078647037 530.930157294074 8.753 0.778186274509804 0.918944052658401 5.52517607596492e-19
2 14 245.739825443527 509.479650887055 10.671 0.770016339869281 0.932980480676794 5.69320176526996e-27
2 15 230.894485398691 479.788970797381 13.256 0.780374649859944 0.927420042826603 1.83553850495574e-29
2 16 217.271871026681 452.543742053361 16.334 0.78515989729225 0.929617429512942 1.67798207314696e-32
2 17 208.035281390305 434.070562780609 19.555 0.781921101774043 0.878593287518898 4.47069292212668e-27
2 18 197.572733689721 413.145467379442 23.964 0.779149159663866 0.964989004132615 7.55831623214246e-56
2 19 187.286788201595 392.573576403189 28.915 0.785130718954248 0.963031402712595 1.73031595683077e-64
2 20 177.690308322436 373.380616644872 34.787 0.789974323062558 0.962576201343206 3.80281304873939e-76
2 21 169.480458262818 356.960916525637 41.687 0.791841736694678 0.978761959896947 6.71105405174818e-108
2 22 162.784881873635 343.569763747271 49.573 0.797735760971055 0.97834458295757 2.80744301675388e-120
2 23 156.897597358818 331.795194717636 58.67 0.803221288515406 0.985344898030065 6.78723089246361e-148
2 24 153.40928162018 324.818563240359 69.567 0.809202847805789 0.991397233668269 1.26997872133148e-193
2 25 152.880136599144 323.760273198288 81.725 0.808940242763772 0.985638513761409 2.34170891803972e-194
3 1 406.623576435953 831.247152871906 0.089 0.505835667600373 1 1
3 2 394.703430225985 807.40686045197 0.331 0.574112978524743 1 0.333333333333333
3 3 382.803944650774 783.607889301548 0.629 0.616800887021475 0.926561645826376 0.00269747609786969
3 4 368.632597028594 755.265194057188 0.921 0.664974323062558 0.690476190476191 0.0693948412698413
3 5 359.938913785312 737.877827570624 1.218 0.677316760037348 0.406060606060606 0.247370787611931
3 6 346.588350676552 711.176701353103 1.573 0.720529878618114 -0.0917143244445188 0.776809035193761
3 7 331.156586444966 680.313172889932 2.102 0.753997432306256 0.319605297916026 0.196062119751602
3 8 316.924623961284 651.849247922568 2.766 0.775822829131653 0.338346799781983 0.133559227838213
3 9 299.594189265811 617.188378531621 3.676 0.788719654528478 0.699412313923082 4.91769523307115e-05
