REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
31 155.87 409.024 33.4711 409.024 155.87 0.7968604 0.058 1.0416667 0.625 0.1666667 0.172 0.8618785 0.058 0.4929577 0.062 0.378495 0.0718232 0.121547 0.058 0.4583333
32 152.768 409.024 33.4711 409.024 152.768 0.8089986 0.05 1.05600301 0.71428571 0.22222222 0.184 0.86187845 0.068 0.50769231 0.068 0.40245538 0.04972376 0.12707182 0.05 0.49206349
33 152.185 409.024 33.4711 409.024 152.185 0.81177054 0.045 1.0699419 0.76785714 0.25490196 0.13 0.85635359 0.058 0.5170068 0.071 0.40797466 0.04696133 0.12707182 0.045 0.51295518
34 150.741 409.024 33.4711 409.024 150.741 0.8191527 0.017 1.0740191 0.9821429 0.5653595 0.163 0.8618785 0.068 0.512 0.068 0.4114919 0.0359116 0.1325967 0.045 0.5066527
35 154.401 409.024 33.4711 409.024 154.401 0.8053805 0.055 1.0595321 0.6785714 0.1862745 0.155 0.8618785 0.062 0.5072464 0.062 0.3962523 0.0718232 0.1160221 0.052 0.4938142
36 152.512 409.024 33.4711 409.024 152.512 0.8117122 0.057 1.0636271 0.6964286 0.1960784 0.184 0.8618785 0.065 0.5103448 0.067 0.3962523 0.0718232 0.1160221 0.057 0.5003501
37 152.995 409.024 33.4711 409.024 152.995 0.80972806 0.012 1.05937309 1.0 0.6503268 0.189 0.85911602 0.059 0.48951049 0.079 0.37258191 0.01657459 0.15469613 0.043 0.48202614
38 152.601 409.024 33.4711 409.024 152.601 0.80818161 0.05 1.06341296 0.73214286 0.22875817 0.154 0.85635359 0.05 0.49101796 0.065 0.37589326 0.06353591 0.12707182 0.05 0.50338469
39 153.373 409.024 33.4711 409.024 153.373 0.811070261 0.046 1.05031302 0.75 0.264705882 0.177 0.85359116 0.062 0.5 0.096 0.399739429 0.005524862 0.149171271 0.046 0.485294118
40 154.581 409.024 33.4711 409.024 154.581 0.801820728 0.042 1.047536763 0.785714286 0.307189542 0.195 0.859116022 0.054 0.483660131 0.089 0.36948204 0.008287293 0.160220994 0.042 0.478524743
41 153.937 409.024 33.4711 409.024 153.937 0.81305439 0.041 1.07248018 0.82142857 0.31045752 0.192 0.86187845 0.057 0.50331126 0.062 0.3835941 0.06906077 0.12154696 0.047 0.51295518
42 152.426 409.024 33.4711 409.024 152.426 0.805789 0.013 1.0539442 0.9821429 0.6176471 0.142 0.8563536 0.069 0.484375 0.069 0.3757316 0.0441989 0.1381215 0.034 0.4652194
